"","año","mes","carbon","gas_natural","petroleo","gasolina","petroleo_2018_ene_transformada","carbon_2018_ene_transformada","gasolina_2018_ene_transformada","gas_natural_2018_ene_transformada"
"1",2000,"ene",79.0655356855606,100.889289837694,95.9364143996833,61.648439375084,2321.75645071988,1913.46444054906,1491.95342239502,2441.62095232515
"2",2000,"feb",81.4008973377534,104.31567290084,93.7557952839529,72.6444077453968,221.780322921269,192.554681478319,171.841112961643,246.759824836744
"3",2000,"mar",76.8245350354533,112.149037167815,94.6163928024931,68.2994689902892,220.079580014957,178.695370904073,158.865900563389,260.860853684165
"4",2000,"abr",76.1664479515954,105.957520696972,94.4181169936705,64.6591440348203,217.440353019898,175.407642708834,148.906878812657,244.015041170618
"5",2000,"may",77.6111355526865,110.788833896557,91.3722159467783,65.1685882577637,209.338318564465,177.810994842695,149.304496424235,253.822761802471
"6",2000,"jun",78.9509461039592,107.458955674309,92.5650875210301,66.1571562392947,212.121075797135,180.923067986822,151.604968233515,246.251690482033
"7",2000,"jul",77.4658179918112,103.17765545491,97.5998321505617,69.4482695068599,223.711201636763,177.561485986871,159.184247356147,236.496280529199
"8",2000,"ago",74.4175226936201,109.88089836333,97.193490456321,65.7645068713116,222.101244709583,170.054849772933,150.281451620408,251.093814840103
"9",2000,"sept",74.6833783395651,103.711654576041,96.1313969106198,68.0453443022818,218.751636507064,169.94563437839,154.840467330881,236.000878926767
"10",2000,"oct",77.5207141936666,101.327504950408,100.322624510781,70.8332830773426,227.91673814434,176.114494649623,160.921735349015,230.199663587545
"11",2000,"nov",78.7810989578348,109.317865058915,98.1932965278247,65.4023037838241,222.354126082163,178.396112871085,148.100457117167,247.545191065613
"12",2000,"dic",74.2106712948176,105.558881404254,96.2564820150584,69.4893249259312,216.960820220214,167.269858363383,156.628006933813,237.928303752182
"13",2001,"ene",77.2718082192869,106.368601389722,96.9853944550735,66.4752766319124,216.353740192208,172.376931738954,148.292171315426,237.28567460063
"14",2001,"feb",80.9118651915721,102.819173642646,99.1591642474651,75.0892999244089,217.081779776774,177.134325749361,164.387416871551,225.094366001511
"15",2001,"mar",76.6471729190846,104.681991705482,95.6489853634593,70.3901200011205,206.340312817921,165.348347153248,151.850219060148,225.826911104527
"16",2001,"abr",83.3060466541118,99.3033815902402,96.7057496305746,68.522536998963,206.247797101901,177.669773238039,146.140455576402,211.787859315463
"17",2001,"may",76.184913546476,104.961414312306,91.8139858265307,74.8261928876201,195.004748206915,161.809987329874,158.924185373031,222.92871815939
"18",2001,"jun",78.3103377891166,101.847957125693,100.127129840826,72.7350752879748,212.568545349929,166.251790260613,154.415583213674,216.22183845165
"19",2001,"jul",82.539047130718,113.999956426072,99.0595670599542,73.0734281163849,210.073485004508,175.038775095867,154.965241230507,241.75724614557
"20",2001,"ago",76.4396800475039,109.571531999767,95.6306613545026,69.0583673893552,202.274092429075,161.682107894883,146.069455031095,231.761256038544
"21",2001,"sept",76.8424684065612,106.473310922472,99.4872193969362,67.725485628924,209.658351507848,161.937034219791,142.723997696391,224.380769539082
"22",2001,"oct",75.2808166147811,112.83324341925,96.3816505233865,72.6384474279479,202.719481896612,158.338107492767,152.780413578774,237.3221097839
"23",2001,"nov",79.1426658053044,112.236843042205,102.959027518726,74.1186551836816,216.320421238719,166.281434640055,155.725817321509,235.813427443048
"24",2001,"dic",79.9779857953285,102.438642589512,101.036771055146,64.827258708858,211.552517840455,167.459273392409,135.736422109809,214.487780415525
